Rank,SMILES,Prediction,Predicted_Class,Probability_Active,Probability_Inactive
79,OCC1OC(OC2=CC(O)=C3C(=O)C=C(OC3=C2)C2=CC=C(O)C=C2)C(O)C(OC(=O)\C=C\C2=CC(O)=C(O)C=C2)C1O,1,Active,0.7842694435405142,0.2157305564594858
80,[H][C@]1(COC(=O)\C=C\C2=CC=C(O)C=C2)OC(OC2=C([O+]=C3C=C(O)C=C(O)C3=C2)C2=CC(O)=C(O)C(OC)=C2)[C@]([H])(O)[C@@]([H])(O)[C@]1([H])O,1,Active,0.7842694435405142,0.2157305564594858
81,OCC1OC(OC2=CC(O)=C3C(=O)C=C(OC3=C2)C2=CC=C(OC(=O)\C=C/C3=CC(O)=C(O)C=C3)C=C2)C(O)C(O)C1O,1,Active,0.7842694435405142,0.2157305564594858
82,COC1C(O)C(COP([O-])(=O)OP([O-])(=O)OP([O-])(=O)OCC2OC(C(O)C2O)N2C=[N+](C)C3=C2N=C(N)NC3=O)OC1N1C=NC2=C1N=CN=C2N,1,Active,0.7840474390528378,0.2159525609471622
83,OC1C(COC(=O)C=CC2=CC(O)=C(O)C=C2)OC(OC2=CC3=C(C=C(O)C=C3[O-])[O+]=C2C2=CC=C(O)C=C2)C(O)C1O,1,Active,0.78,0.21999999999999997
84,N[C@@H](CC1=CC=C(O)C=C1)C(=O)N1CCC[C@H]1C(=O)N[C@@H](CC1=CC=CC=C1)C(=O)N[C@@H](CC1=CC=CC=C1)C(N)=O,1,Active,0.78,0.21999999999999997
85,[H][C@]1(COC(=O)\C=C\C2=CC=C(O)C=C2)OC(OC2=C([O+]=C3C=C(O)C=C(O)C3=C2)C2=CC(OC)=C(O)C=C2)[C@]([H])(O)[C@@]([H])(O)[C@]1([H])O,1,Active,0.78,0.21999999999999997
86,COC1=CC2=C(OCO2)C=C1C1=COC2=CC(OC3OC(CO)C(O)C(O)C3OC(=O)\C=C/C3=CC=C(O)C=C3)=C(OC)C(OC)=C2C1=O,1,Active,0.78,0.21999999999999997
87,COC1=CC(C=CC(=O)OCC(COC(=O)C=CC2=CC(OC)=C(O)C(OC)=C2)OC(=O)C=CC2=CC(OC)=C(O)C(OC)=C2)=CC(OC)=C1O,1,Active,0.78,0.21999999999999997
88,COC1=CC(\C=C\C(=O)OCC(COC(=O)\C=C\C2=CC(OC)=C(O)C(OC)=C2)OC(=O)\C=C\C2=CC(OC)=C(O)C(OC)=C2)=CC(OC)=C1O,1,Active,0.78,0.21999999999999997
89,OC1C(COC(=O)C=CC2=CC=C(O)C=C2)OC(OC2=CC3=C(C=C(O)C=C3[O-])[O+]=C2C2=CC(O)=C(O)C=C2)C(O)C1O,1,Active,0.78,0.21999999999999997
90,COC1=CC(=CC(OC)=C1O)C1=[O+]C2=C3C(OC(=CC3=C1OC1O[C@H](COC(=O)\C=C\C3=CC=C(O)C=C3)[C@@H](O)[C@H](O)[C@H]1O)C(O)=O)=CC(O)=C2,1,Active,0.7795469978446171,0.22045300215538288
91,CC1=C(CCOP(O)(=O)OP(O)(=O)OC[C@H]2O[C@H]([C@@H](O)[C@H]2O)N2C=NC3=C2N=CN=C3N)SC=[N+]1CC1=CN=C(C)N=C1N,1,Active,0.7794997492663772,0.22050025073362278
92,NC1=NC=NC2=C1N=CN2C1OC(COP([O-])(=O)OP([O-])(=O)OP([O-])(=O)OCC2OC(C(O)C2O)N2C=NC3=C2N=CN=C3N)C(O)C1O,1,Active,0.7794359956007788,0.2205640043992212
93,COC1=C(O)C=CC(\C=C\C(=O)OCC2OC(OC3C(O)C(O)C(CO)OC3C3=C(O)C4=C(OC(=CC4=O)C4=CC=C(O)C=C4)C=C3O)C(O)C(O)C2O)=C1,1,Active,0.77482455214872,0.22517544785127996
94,COC1=C(O)C=CC(=C1)C1=CC(=O)C2=C(O)C(C3OC(CO)C(O)C(O)C3OC3OC(COC(=O)\C=C\C4=CC=C(O)C=C4)C(O)C(O)C3O)=C(O)C=C2O1,1,Active,0.77482455214872,0.22517544785127996
95,COC1=C(O)C=CC(=C1)C1=C(OC2OC(C)C(O)C(O)C2OC2OC(COC(=O)\C=C\C3=CC=C(O)C=C3)C(O)C(O)C2O)C(=O)C2=C(O)C=C(O)C=C2O1,1,Active,0.77482455214872,0.22517544785127996
96,COC1=CC(\C=C\C(=O)OC[C@H]2OC(OC3=CC4=C(C(=O)C=C(O4)C4=CC=C(O)C=C4)C(O)=C3[C@@H]3O[C@H](CO)[C@@H](O)[C@H](O)[C@H]3O)[C@H](O)[C@@H](O)[C@@H]2O)=CC=C1O,1,Active,0.77482455214872,0.22517544785127996
97,COC1=C(O)C(O)=CC(=C1)C1=[O+]C2=CC(O)=CC(O)=C2C=C1O[C@@H]1O[C@H](CO[C@@H]2O[C@@H](C)[C@H](OC(=O)\C=C\C3=CC=C(O)C=C3)[C@@H](O)[C@H]2O)[C@@H](O)[C@H](O)[C@H]1O,1,Active,0.77482455214872,0.22517544785127996
98,COC1=CC2=C(C(=O)C=C(O2)C2=CC=C(O)C=C2)C(O)=C1C1OC(CO)C(O)C(O)C1OC1OC(COC(=O)\C=C\C2=CC=C(O)C=C2)C(O)C(O)C1O,1,Active,0.77482455214872,0.22517544785127996
99,OC[C@H]1O[C@@H](OC2=C([O+]=C3C=C(O)C=C(O)C3=C2)C2=CC(O)=C(O)C(O)=C2)[C@H](O)[C@@H](OC(=O)\C=C\C2=CC=C(O)C=C2)[C@@H]1O,1,Active,0.7742694435405142,0.2257305564594858
100,OC1C(COC(=O)\C=C\C2=CC=C(O)C=C2)OC(OC2=CC3=C(O)C=C(O)C=C3[O+]=C2C2=CC(O)=C(O)C(O)=C2)C(O)C1O,1,Active,0.7742694435405142,0.2257305564594858
